Time,Temp,CloneID,Plate,Col,Rep,Active,propActive
300,37.5,2.5,A,2,1,6,0.1875
300,37.5,2.5,A,2,2,1,0.066666667
300,37.5,2.5,A,2,3,1,0.076923077
300,37.5,1.2,A,3,1,3,0.6
300,37.5,1.2,A,3,2,8,1
300,37.5,1.2,A,3,3,9,1
300,37.5,2.3,A,4,1,4,0.307692308
300,37.5,2.3,A,4,2,3,0.25
300,37.5,2.3,A,4,3,2,0.153846154
300,37.5,2.5,A,5,4,1,0.058823529
300,37.5,2.5,A,5,5,1,0.055555556
300,37.5,2.5,A,5,6,1,0.05
300,37.5,1.7,A,6,1,3,0.2
300,37.5,1.7,A,6,2,4,0.333333333
300,37.5,1.7,A,6,3,8,0.5
300,37.5,2.3,B,1,4,0,0
300,37.5,2.3,B,1,5,0,0
300,37.5,2.3,B,1,6,1,0.083333333
300,37.5,1.5,B,2,1,17,0.68
300,37.5,1.5,B,2,2,12,1
300,37.5,1.5,B,2,3,10,1
300,37.5,1.2,B,3,4,6,0.666666667
300,37.5,1.2,B,3,5,5,0.833333333
300,37.5,1.2,B,3,6,7,1
300,37.5,2.5,B,4,7,1,0.052631579
300,37.5,2.5,B,4,8,2,0.133333333
300,37.5,2.5,B,4,9,1,0.043478261
300,37.5,1.7,B,5,4,5,0.5
300,37.5,1.7,B,5,5,4,0.333333333
300,37.5,1.7,B,5,6,4,0.363636364
300,37.5,1.5,B,6,4,8,0.615384615
300,37.5,1.5,B,6,5,4,0.5
300,37.5,1.5,B,6,6,9,1
300,37.5,1.7,C,1,7,3,0.2
300,37.5,1.7,C,1,8,2,0.142857143
300,37.5,1.7,C,1,9,4,0.4
300,37.5,1.2,C,2,7,4,0.363636364
300,37.5,1.2,C,2,8,5,0.555555556
300,37.5,1.2,C,2,9,7,0.777777778
300,37.5,2.4,C,3,4,12,0.413793103
300,37.5,2.4,C,3,5,4,0.108108108
300,37.5,2.4,C,3,6,8,0.266666667
300,37.5,1.5,C,4,7,7,1
300,37.5,1.5,C,4,8,10,0.625
300,37.5,1.5,C,4,9,12,0.8
300,37.5,1.7,C,5,10,2,0.2
300,37.5,1.7,C,5,11,5,0.555555556
300,37.5,1.7,C,5,12,10,0.5
300,37.5,2.3,C,6,7,1,0.058823529
300,37.5,2.3,C,6,8,3,0.2
300,37.5,2.3,C,6,9,5,0.357142857
300,37.5,2.3,D,1,10,4,0.173913043
300,37.5,2.3,D,1,11,2,0.142857143
300,37.5,2.3,D,1,12,2,0.166666667
300,37.5,1.5,D,2,10,5,0.555555556
300,37.5,1.5,D,2,11,9,0.5625
300,37.5,1.5,D,2,12,4,0.571428571
300,37.5,2.4,D,3,7,20,0.625
300,37.5,2.4,D,3,8,7,0.194444444
300,37.5,2.4,D,3,9,10,0.357142857
300,37.5,2.5,D,4,10,0,0
300,37.5,2.5,D,4,11,0,0
300,37.5,2.5,D,4,12,3,0.130434783
300,37.5,1.2,D,5,10,13,0.65
300,37.5,1.2,D,5,11,9,0.818181818
300,37.5,1.2,D,5,12,8,0.727272727
300,37.5,2.4,D,6,10,13,0.433333333
300,37.5,2.4,D,6,11,15,0.535714286
300,37.5,2.4,D,6,12,12,0.52173913
360,40,2.4,A,1,1,0,0
360,40,2.4,A,1,2,0,0
360,40,2.4,A,1,3,0,0
360,40,2.5,A,2,1,0,0
360,40,2.5,A,2,2,0,0
